scenario,condition,variant,formula,shadow_fading_std_db,applicability_range,notes
RMa,LOS,,"PL_{RMa-LOS} = \begin{cases} PL_1 & 10m \le d_{2D} \le d_{BP} \\ PL_2 & d_{BP} \le d_{2D} \le 10km \end{cases}; \quad PL_1 = 20\log_{10}(40\pi d_{3D} f_c/3) + \min(0.03h^{1.72},10)\log_{10}(d_{3D}) - \min(0.044h^{1.72},14.77) + 0.002\log_{10}(h)d_{3D}; \quad PL_2 = PL_1(d_{BP}) + 40\log_{10}(d_{3D}/d_{BP})",4 dB (10 m <= d2D < dBP); 6 dB (dBP <= d2D < 10 km),"hBS = 35 m, hUT = 1.5 m, W = 20 m, h = 5 m (h = avg. building height, W = avg. street width)",NOTE 5; NOTE 6
RMa,NLOS,,"PL_{RMa-NLOS} = \max(PL_{RMa-LOS}, PL'_{RMa-NLOS}), \text{ for } 10m \le d_{2D} \le 5km; \quad PL'_{RMa-NLOS} = 161.04 - 7.1\log_{10}(W) + 7.5\log_{10}(h) - (24.37 - 3.7(h/h_{BS})^2)\log_{10}(h_{BS}) + (43.42 - 3.1\log_{10}(h_{BS}))(\log_{10}(d_{3D}) - 3) + 20\log_{10}(f_c) - (3.2(\log_{10}(11.75 h_{UT}))^2 - 4.97)",8,"W = avg. street width; ranges: 5m <= h <= 50m, 5m <= W <= 50m, 10m <= hBS <= 150m, 1m <= hUT <= 10m",NOTE 6
UMa,LOS,,PL_{UMa-LOS} = \begin{cases} PL_1 & 10m \le d_{2D} \le d'_{BP} \\ PL_2 & d'_{BP} \le d_{2D} \le 5km \end{cases}; \quad PL_1 = 28.0 + 22\log_{10}(d_{3D}) + 20\log_{10}(f_c); \quad PL_2 = 28.0 + 40\log_{10}(d_{3D}) + 20\log_{10}(f_c) - 9\log_{10}((d'_{BP})^2 + (h_{BS}-h_{UT})^2),4,"1.5m <= hUT <= 22.5m, hBS = 25m (see NOTE 7)",NOTE 1; NOTE 6; NOTE 7
UMa,NLOS,,"PL_{UMa-NLOS} = \max(PL_{UMa-LOS}, PL'_{UMa-NLOS}), \text{ for } 10m \le d_{2D} \le 5km; \quad PL'_{UMa-NLOS} = 13.54 + 39.08\log_{10}(d_{3D}) + 20\log_{10}(f_c) - 0.6(h_{UT} - 1.5)",6,"1.5m <= hUT <= 22.5m, hBS = 25m (see NOTE 3)",NOTE 3; NOTE 6
UMa,NLOS,optional,PL_{UMa-NLOS} = 32.4 + 20\log_{10}(f_c) + 30\log_{10}(d_{3D}),7.8,Same as UMa NLOS primary model,
UMi-StreetCanyon,LOS,,PL_{UMi-LOS} = \begin{cases} PL_1 & 10m \le d_{2D} \le d'_{BP} \\ PL_2 & d'_{BP} \le d_{2D} \le 5km \end{cases}; \quad PL_1 = 32.4 + 21\log_{10}(d_{3D}) + 20\log_{10}(f_c); \quad PL_2 = 32.4 + 40\log_{10}(d_{3D}) + 20\log_{10}(f_c) - 9.5\log_{10}((d'_{BP})^2 + (h_{BS}-h_{UT})^2),4,"1.5m <= hUT <= 22.5m, hBS = 10m (see NOTE 7)",NOTE 1; NOTE 6; NOTE 7
UMi-StreetCanyon,NLOS,,"PL_{UMi-NLOS} = \max(PL_{UMi-LOS}, PL'_{UMi-NLOS}), \text{ for } 10m \le d_{2D} \le 5km; \quad PL'_{UMi-NLOS} = 35.3\log_{10}(d_{3D}) + 22.4 + 21.3\log_{10}(f_c) - 0.3(h_{UT} - 1.5)",7.82,"1.5m <= hUT <= 22.5m, hBS = 10m (see NOTE 4)",NOTE 4; NOTE 6
UMi-StreetCanyon,NLOS,optional,PL_{UMi-NLOS} = 32.4 + 20\log_{10}(f_c) + 31.9\log_{10}(d_{3D}),8.2,Same as UMi-StreetCanyon NLOS primary model,
InH-Office,LOS,,PL_{InH-LOS} = 32.4 + 17.3\log_{10}(d_{3D}) + 20\log_{10}(f_c),3,1m <= d3D <= 150m,NOTE 6
InH-Office,NLOS,,"PL_{InH-NLOS} = \max(PL_{InH-LOS}, PL'_{InH-NLOS}); \quad PL'_{InH-NLOS} = 38.3\log_{10}(d_{3D}) + 17.30 + 24.9\log_{10}(f_c)",8.03,1m <= d3D <= 150m,NOTE 6
InH-Office,NLOS,optional,PL'_{InH-NLOS} = 32.4 + 20\log_{10}(f_c) + 31.9\log_{10}(d_{3D}),8.29,1m <= d3D <= 150m,
InF,LOS,,PL_{LOS} = 31.84 + 21.50\log_{10}(d_{3D}) + 19.00\log_{10}(f_c),4.3,1m <= d3D <= 600m (shared by all InF sub-scenarios),NOTE 6
InF-SL,NLOS,,"PL = 33 + 25.5\log_{10}(d_{3D}) + 20\log_{10}(f_c); \quad PL_{NLOS} = \max(PL, PL_{LOS})",5.7,1m <= d3D <= 600m,NOTE 6
InF-DL,NLOS,,"PL = 18.6 + 35.7\log_{10}(d_{3D}) + 20\log_{10}(f_c); \quad PL_{NLOS} = \max(PL, PL_{LOS}, PL_{InF-SL})",7.2,1m <= d3D <= 600m,NOTE 6
InF-SH,NLOS,,"PL = 32.4 + 23.0\log_{10}(d_{3D}) + 20\log_{10}(f_c); \quad PL_{NLOS} = \max(PL, PL_{LOS})",5.9,1m <= d3D <= 600m,NOTE 6
InF-DH,NLOS,,"PL = 33.63 + 21.9\log_{10}(d_{3D}) + 20\log_{10}(f_c); \quad PL_{NLOS} = \max(PL, PL_{LOS})",4.0,1m <= d3D <= 600m,NOTE 6
SMa,LOS,,"PL_{SMa-LOS} = \begin{cases} PL_1 & 10m \le d_{2D} < d_{BP} \\ PL_2 & d_{BP} \le d_{2D} \le 5km \end{cases}; \quad PL_1 = 20\log_{10}(40\pi d_{3D} f_c/3) + \min(0.03h^{1.72},10)\log_{10}(d_{3D}) - \min(0.044h^{1.72},14.77) + 0.002\log_{10}(h)d_{3D}; \quad PL_2 = PL_1(d_{BP}) + 40\log_{10}(d_{3D}/d_{BP})",4 dB (10 m <= d2D < dBP); 6 dB (dBP <= d2D < 5000 m),"25m < hBS < 35m, h = 10m (h = avg. building height)",NOTE 5; NOTE 6
SMa,NLOS,,PL_{SMa-NLOS} = 161.04 - 7.1\log_{10}(W) + 7.5\log_{10}(h) - (24.37 - 3.7(h/h_{BS})^2)\log_{10}(h_{BS}) + (43.42 - 3.1\log_{10}(h_{BS}))(\log_{10}(d_{3D}) - 3) + 20\log_{10}(f_c) - (3.2(\log_{10}(11.75 h_{UT}))^2 - 4.97),8,"10m <= d2D < 5000m, 1m < hUT < 14m, h = 10m, W = 10m",NOTE 6
