scenario,condition,mu_lgDS,sigma_lgDS,mu_lgASD,sigma_lgASD,mu_lgASA,sigma_lgASA,mu_lgZSA,sigma_lgZSA,sigma_SF,mu_K,sigma_K,corr_ASD_DS,corr_ASA_DS,corr_ASA_SF,corr_ASD_SF,corr_DS_SF,corr_ASD_ASA,corr_ASD_K,corr_ASA_K,corr_DS_K,corr_SF_K,corr_ZSD_SF,corr_ZSA_SF,corr_ZSD_K,corr_ZSA_K,corr_ZSD_DS,corr_ZSA_DS,corr_ZSD_ASD,corr_ZSA_ASD,corr_ZSD_ASA,corr_ZSA_ASA,corr_ZSD_ZSA,delay_scaling_parameter_r_tau,mu_XPR,sigma_XPR,number_of_clusters,number_of_rays_per_cluster,cluster_DS_ns,cluster_ASD_deg,cluster_ASA_deg,cluster_ZSA_deg,per_cluster_shadowing_std_zeta_db,corr_distance_DS_m,corr_distance_ASD_m,corr_distance_ASA_m,corr_distance_SF_m,corr_distance_K_m,corr_distance_ZSA_m,corr_distance_ZSD_m
UMi - Street Canyon,LOS,"-0.18 log10(1+ fc) - 7.28, see note 8","0.39, see note 8",-0.05 log10(1+ fc) + 1.21 see note 9,0.08 log10(1+ fc) + 0.29 see note 8,"-0.07 log10(1+ fc) + 1.66, see note 8","0.021 log10(1+ fc) + 0.26, see note 8",-0.11 log10(1+ fc) + 0.81 see note 8,-0.03 log10(1+ fc) + 0.29 see note 8,See Table 7.4.1-1,9,5,0.5,0.8,-0.4,-0.5,-0.4,0.4,-0.2,-0.3,-0.7,0.5,0,0,0,0,0,0.2,0.5,0.3,0,0,0,3,9,3,12,20,5,3,17,7,3,7,8,8,10,15,12,12
UMi - Street Canyon,NLOS,"-0.22 log10(1+ fc) - 6.87, see note 8","0.19 log10(1+ fc) + 0.22, see note 8",-0.24 log10(1+ fc) + 1.54 see note 8,0.10 log10(1+ fc) + 0.33 see note 8,"-0.07 log10(1+ fc) + 1.76, see note 8","0.05 log10(1+ fc) + 0.27, see note 8",-0.03 log10(1+ fc) + 0.92 see note 8,-0.05 log10(1+ fc) + 0.35 see note 8,See Table 7.4.1-1,N/A,N/A,0,0.4,-0.4,0,-0.7,0,N/A,N/A,N/A,N/A,0,0,N/A,N/A,-0.5,0,0.5,0.5,0,0.2,0,2.1,8.0,3,19,20,11,10,22,7,3,10,10,9,13,N/A,10,10
UMi - Street Canyon,O2I,-6.62,0.32,1.25,0.42,1.76,0.16,1.01,0.43,7,N/A,N/A,0.4,0.4,0,0.2,-0.5,0,N/A,N/A,N/A,N/A,0,0,N/A,N/A,-0.6,-0.2,-0.2,0,0,0.5,0.5,2.2,9,5,12,20,11,5,8,3,4,10,11,17,7,N/A,25,25
UMa,LOS,"-7.067 - 0.0794 log10(fc), see note 8","0.57 + 0.026 log10(fc), see note 8","0.92, see note 8","0.31, see note 8","1.76, see note 8","0.19, see note 8",0.96 see note 8,0.15 see note 8,See Table 7.4.1-1,9,3.5,0.4,0.8,-0.5,-0.5,-0.4,0,0,-0.2,-0.4,0,0,-0.8,0,0,-0.2,0,0.5,0,-0.3,0.4,0,2.5,8,4,12,20,"max(0.25, 6.5622 -3.4084 log10(fc))","3.58, see note 8",11,7,3,30,18,15,37,12,15,15
UMa,NLOS,"-6.47 - 0.134 log10(fc), see note 8",0.39 see note 9,"1.09, see note 8","0.44, see note 8","2.04 - 0.25 log10(fc), see note 8","0.17 - 0.03 log10(fc), see note 8","-0.2856 log10(fc) + 1.445, see note 8","0.17, see note 8",See Table 7.4.1-1,N/A,N/A,0.4,0.6,0,-0.6,-0.4,0.4,N/A,N/A,N/A,N/A,0,-0.4,N/A,N/A,-0.5,0,0.5,-0.1,0,0,0,2.3,7,3,20,20,"max(0.25, 6.5622 -3.4084 log10(fc))","1.8, see note 8",15,7,3,40,50,50,50,N/A,50,50
UMa,O2I,-6.62,0.32,"0.58, see note 8",0.7 see note 8,1.76,0.16,1.01,0.43,7,N/A,N/A,0.4,0.4,0,0.2,-0.5,0,N/A,N/A,N/A,N/A,0,0,N/A,N/A,-0.6,-0.2,-0.2,0,0,0.5,0.5,2.2,9,5,12,20,11,"1.8, see note 8",8,3,4,10,11,17,7,N/A,25,25
RMa,LOS,-7.49,0.55,0.90,0.38,1.52,0.24,0.47,0.40,See Table 7.4.1-1,7,4,0,0,0,0,-0.5,0,0,0,0,0,0.01,-0.17,0,-0.02,-0.05,0.27,0.73,-0.14,-0.20,0.24,-0.07,3.8,12,4,11,20,N/A,2,3,3,3,50,25,35,37,40,15,15
RMa,NLOS,-7.43,0.48,0.95,0.45,1.52,0.13,0.58,0.37,See Table 7.4.1-1,N/A,N/A,-0.4,0,0,0.6,-0.5,0,N/A,N/A,N/A,N/A,-0.04,-0.25,N/A,N/A,-0.10,-0.40,0.42,-0.27,-0.18,0.26,-0.27,1.7,7,3,10,20,N/A,2,3,3,3,36,30,40,120,N/A,50,50
RMa,O2I,-7.47,0.24,0.67,0.18,1.66,0.21,0.93,0.22,8,N/A,N/A,0,0,0,0,0,-0.7,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,0,0.66,0.47,-0.55,-0.22,0,1.7,7,3,10,20,N/A,2,3,3,3,36,30,40,120,N/A,50,50
Indoor-Office,LOS,-0.01 log10(1+fc) - 7.692,0.18,1.60,0.18,-0.19 log10(1+fc) + 1.781,0.12 log10(1+fc) + 0.119,-0.26 log10(1+fc) + 1.44,-0.04 log10(1+fc) + 0.264,See Table 7.4.1-1,7,4,0.6,0.8,–0.5,–0.4,–0.8,0.4,0,0,-0.5,0.5,0.2,0.3,0,0.1,0.1,0.2,0.5,0,0,0.5,0,3.6,11,4,15,20,N/A,5,8,9,6,8,7,5,10,4,4,4
Indoor-Office,NLOS,-0.28 log10(1+fc) - 7.173,0.10 log10(1+fc) + 0.055,1.62,0.25,-0.11 log10(1+fc) + 1.863,0.12 log10(1+fc) + 0.059,-0.15 log10(1+fc) + 1.387,-0.09 log10(1+fc) + 0.746,See Table 7.4.1-1,N/A,N/A,0.4,0,–0.4,0,–0.5,0,N/A,N/A,N/A,N/A,0,0,N/A,N/A,-0.27,-0.06,0.35,0.23,-0.08,0.43,0.42,3,10,4,19,20,N/A,5,11,9,3,5,3,3,6,N/A,4,4
InF,LOS,log10(26(V/S)+14)-9.35,0.15,1.56,0.25,-0.18*log10(1+fc) + 1.78,0.12*log10(1+fc) + 0.2,-0.2*log10(1+fc) + 1.5,0.35,Specified as part of path loss models,7,8,0,0,0,0,0,0,-0.5,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,2.7,12,6,25,20,N/A,5,8,9,4,10,10,10,10,10,10,10
InF,NLOS,log10(30(V/S)+32)-9.44,0.19,1.57,0.2,1.72,0.3,-0.13*log10(1+fc) + 1.45,0.45,Specified as part of path loss models,N/A,N/A,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,0,N/A,N/A,0,0,0,0,0,0,0,3,11,6,25,20,N/A,5,8,9,3,10,10,10,10,N/A,10,10
SMa,LOS,–7.42,0.60,0.48,0.27,1.43,0.12,1.18,0.05,See Table 7.4.1-1,9,7,0.4,0.8,–0.5,–0.5,–0.4,0,0,-0.2,-0.4,0,0,-0.8,0,0,-0.2,0,0.5,0,-0.3,0.4,0,2.4,8,4,15,20,"max(0.25, 6.5622 -3.4084 log10(fc))",2.08,5,7,3,6,15,20,40,10,15,15
SMa,NLOS,-7.20,0.58,0.51,0.33,1.63,0.26,1.16,0.14,See Table 7.4.1-1,N/A,N/A,0,0.7,0,-0.4,-0.13,0,N/A,N/A,N/A,N/A,0,-0.47,N/A,N/A,-0.5,0,0.5,-0.1,0,0.36,0,1.5,4,3,14,20,"max(0.25, 6.5622 -3.4084 log10(fc))",1.33,10,7,3,40,30,30,50,N/A,50,50
SMa,O2I,-7.20,0.58,0.51,0.33,1.63,0.26,1.16,0.14,8,N/A,N/A,0,0.7,0,-0.4,-0.13,0,N/A,N/A,N/A,N/A,0,-0.47,N/A,N/A,-0.5,0,0.5,-0.1,0,0.36,0,1.5,4,3,14,20,"max(0.25, 6.5622 -3.4084 log10(fc))",1.33,10,7,3,40,30,30,50,N/A,50,50
